Psalm A,Psalm B,Contiguous Phrase Matches,Skipgram Matches,Root Matches,Final Score
14,53,12,594,2,19908.71
42,43,10,374,1,9492.62
60,108,14,274,1,7454.33
40,70,6,190,0,5039.1
96,98,7,99,8,2634.51
115,135,9,101,5,2233.37
57,108,3,64,3,1905.27
54,86,0,33,12,1162.85
41,106,1,37,13,739.57
35,70,3,16,8,635.87
79,89,3,33,25,605.35
29,96,4,13,7,564.57
78,105,4,9,65,453.72
86,103,1,14,15,417.71
124,129,1,5,3,398.1
121,124,2,4,3,383.77
106,107,3,8,34,371.96
31,71,3,9,26,370.46
6,30,2,4,13,366.74
31,34,3,0,40,354.62
103,145,2,13,16,354.0
135,147,3,9,21,346.42
93,96,2,7,3,344.78
69,102,3,3,38,342.81
35,40,3,11,22,337.45
121,134,2,2,4,335.24
48,97,2,6,10,330.94
17,31,0,0,32,328.13
96,97,4,5,10,327.92
4,13,1,0,10,325.4
27,102,2,10,20,320.77
7,9,2,0,26,315.95
88,143,1,2,22,315.11
65,132,0,0,22,314.53
78,106,4,6,49,311.28
40,69,6,4,34,309.48
38,109,2,3,31,308.33
95,100,2,1,10,306.15
69,109,4,3,41,305.87
58,140,0,1,18,304.91
18,31,4,1,52,304.52
77,90,0,2,24,304.15
35,109,4,1,36,303.77
34,109,3,3,31,302.2
19,139,0,0,26,300.35
40,109,5,1,31,299.97
86,88,1,3,21,299.74
33,146,1,3,19,299.5
40,51,0,3,28,296.63
44,69,2,2,39,294.06
7,44,0,2,28,291.36
35,38,6,2,24,291.01
44,74,1,5,28,290.59
28,143,5,9,8,288.98
78,80,0,0,38,288.88
64,140,1,0,12,288.07
68,78,0,3,55,287.97
35,71,5,4,27,287.18
111,145,3,1,16,286.93
11,58,1,0,12,285.08
33,98,3,2,16,283.69
31,109,3,5,36,283.14
18,78,0,3,68,283.08
18,69,1,1,55,281.81
55,91,0,0,21,281.36
44,89,2,4,36,280.68
39,109,1,0,32,280.48
34,35,2,2,31,280.2
34,69,2,3,36,278.9
5,36,2,2,17,278.67
78,139,3,2,43,278.39
104,105,3,2,37,277.88
31,142,2,0,21,277.7
51,71,2,1,25,277.65
16,141,0,0,13,276.51
38,40,3,0,29,276.39
103,147,1,4,22,276.27
49,62,0,9,12,276.19
7,18,5,3,33,275.24
57,59,2,9,9,275.0
11,64,1,0,10,274.7
39,73,1,0,23,273.74
78,104,1,4,47,273.66
96,149,1,1,12,273.37
95,139,0,1,19,270.93
19,51,1,0,17,270.19
22,142,1,0,16,268.55
