index_id	psalm_chapter	psalm_verse_start	psalm_verse_end	psalm_phrase_hebrew	psalm_phrase_normalized	phrase_length	prayer_id	liturgy_phrase_hebrew	liturgy_context	normalization_level	confidence	distinctiveness_score	source_text	sefaria_ref	nusach	prayer_type	occasion	service	section	prayer_name	hebrew text first 200 chars	sequence_order	liturgical_notes
9329	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	99	לְדָוִד יְהֹוָה	ובפרט מר״ח אלול עד הושענא רבא (מורה באצבע סי' לז). לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב	2	0.972	0.886666667	Siddur Ashkenaz	Siddur Ashkenaz, Weekday, Shacharit, Concluding Prayers, LeDavid, LeDavid	Ashkenaz	Siddur	Weekday	Shacharit		LeDavid	מנהג טוב לומר אחר כל תפלה מזמור לדוד ה׳‬ אורי וישעי. ובפרט מר״ח אלול עד הושענא רבא (מורה באצבע סי' לז). לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב 	14	Metadata only (depth=5, key=L'David)
9330	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	172	לְדָוִד יְהֹוָה	ובפרט מר״ח אלול עד הושענא רבא (מורה באצבע סי' לז). לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב	2	0.972	0.886666667	Siddur Ashkenaz	Siddur Ashkenaz, Weekday, Maariv, LeDavid, LeDavid	Ashkenaz	Siddur	Weekday	Maariv		LeDavid	מנהג טוב לומר אחר כל תפלה מזמור לדוד ה׳‬ אורי וישעי. ובפרט מר״ח אלול עד הושענא רבא (מורה באצבע סי' לז). לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב 	11	Metadata only (depth=4, key=L'David)
9333	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	477	לְדָוִד יְהֹוָה	ובפרט מר״ח אלול עד הושענא רבא (מורה באצבע סי' לז). לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב	2	0.972	0.886666667	Siddur Sefard	Siddur Sefard, Weekday Shacharit, L'David Hashem, L'David Hashem	Sefard	Siddur	Weekday	Shacharit		L'David Hashem	מנהג טוב לומר אחר כל תפלה מזמור לדוד ה׳‬ אורי וישעי. ובפרט מר״ח אלול עד הושענא רבא (מורה באצבע סי' לז). לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב 	18	Metadata only (depth=3, key=L'David Hashem)
9335	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	490	לְדָוִד יְהֹוָה	מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְ֒רֹב עָלַי מְרֵעִים לֶאֱכֹל אֶת בְּשָׂרִי צָרַי וְאֹיְ֒בַי לִי הֵֽמָּה כָשְׁ֒לוּ וְנָפָֽלוּ: אִם תַּחֲנֶה עָלַי מַחֲנֶה לֹא יִירָא	2	0.972	0.886666667	Siddur Sefard	Siddur Sefard, Weekday Mincha, Tachanun, Tachanun	Sefard	Siddur	Weekday	Mincha	Tachanun	Tachanun	אין נופלין על פניהם בבית האבל או בבית הכנסת שמלין בו התינוק או שבעל ברית או סנדק והמוהל מתפללין שם, ולא כשיש שם חתן כל ז' ימי המשתה, ולא בט"ו באב, ובט"ו בשבט, ר"ח, חנוכה, פורים קטן, ופורים גדול ב' ימי	6	Metadata only (depth=3, key=Tachanun)
9336	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	544	לְדָוִד יְהֹוָה	לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְרֹב עָלַי מְרֵעִים לֶאֱכֹל אֶת בְּשָׂרִי צָרַי וְאֹיְבַי לִי הֵמָּה כָשְׁלוּ	2	0.972	0.886666667	Siddur Sefard	Siddur Sefard, Shabbat Eve Mincha, Amidah, Amidah	Sefard	Siddur	Shabbat	Mincha	Amidah	Amidah	תפילת שמונה עשרה כִּי שֵׁם יְהֹוָה אֶקְרָא הָבוּ גֹדֶל לֵאלֹהֵינוּ: אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶךָ: בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵינוּ וֵאלֹהֵי אֲבוֹתֵינוּ, אֱלֹהֵי אַבְרָהָם,	16	Metadata only (depth=3, key=Amidah)
9338	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	558	לְדָוִד יְהֹוָה	מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְרֹב עָלַי מְרֵעִים לֶאֱכֹל אֶת בְּשָׂרִי צָרַי וְאֹיְבַי לִי הֵמָּה כָשְׁלוּ וְנָפָלוּ: אִם תַּחֲנֶה עָלַי	2	0.972	0.886666667	Siddur Sefard	Siddur Sefard, Shabbat Morning Services, Amidah, Amidah	Sefard	Siddur	Shabbat	Shacharit	Amidah	Amidah	אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶךָ: בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵינוּ וֵאלֹהֵי אֲבוֹתֵינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב. הָאֵל הַגָּדוֹל, הַגִּבּוֹר וְהַנ	20	Metadata only (depth=3, key=Amidah)
9340	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	577	לְדָוִד יְהֹוָה	לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְרֹב עָלַי מְרֵעִים לֶאֱכֹל אֶת בְּשָׂרִי צָרַי וְאֹיְבַי לִי הֵמָּה כָשְׁלוּ	2	0.972	0.886666667	Siddur Sefard	Siddur Sefard, Shabbat Mincha, Amidah, Amidah	Sefard	Siddur	Shabbat	Mincha	Amidah	Amidah	תפילת שמונה עשרה כִּי שֵׁם יְהֹוָה אֶקְרָא הָבוּ גֹדֶל לֵאלֹהֵינוּ: אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶךָ: בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵינוּ וֵאלֹהֵי אֲבוֹתֵינוּ, אֱלֹהֵי אַבְרָהָם,	22	Metadata only (depth=3, key=Amidah)
9351	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	811	לְדָוִד יְהֹוָה	בִּמְרוֹמָיו הוּא יַעֲשֶׂה שָׁלוֹם עָלֵינוּ וְעַל כָּל יִשְׂרָאֵל וְאִמְרוּ אָמֵן: לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְרֹב	2	0.972	0.886666667	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, Maariv, Aleinu, Aleinu	Ashkenaz	Machzor		Maariv		Aleinu	עָלֵֽינוּ לְשַׁבֵּֽחַ לַאֲדוֹן הַכֹּל לָתֵת גְּדֻלָּה לְיוֹצֵר בְּרֵאשִׁית שֶׁלֹּא עָשָֽׂנוּ כְּגוֹיֵי הָאֲרָצוֹת וְלֹא שָׂמָֽנוּ כְּמִשְׁפְּחוֹת הָאֲדָמָה שֶׁלֹּא שָׂם חֶלְקֵֽנוּ כָּהֶם וְגוֹרָלֵֽנוּ	9	Metadata only (depth=3, key=Aleinu)
9352	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	875	לְדָוִד יְהֹוָה	בְּשֵׂיבָה דְּשֵׁנִים וְרַעֲנַנִּים יִהְיוּ: לְהַגִּיד כִּי־יָשָׁר יְהֹוָה צוּרִי וְלֹא־עַוְלָֽתָה בּוֹ: לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְרֹב	2	0.972	0.886666667	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, Musaf, First Day of Rosh Hashana, Song of the Day, Song of the Day	Ashkenaz	Machzor		Musaf		Song of the Day	יִתְגַּדַּל וְיִתְקַדַּשׁ שְׁמֵהּ רַבָּא בְּעָלְמָא דִּי בְרָא כִרְעוּתֵהּ וְיַמְלִיךְ מַלְכוּתֵהּ בְּחַיֵּיכוֹן וּבְיוֹמֵיכוֹן וּבְחַיֵּי דְכָל בֵּית יִשְׂרָאֵל, בַּעֲגָלָא וּבִזְמַן קָרִיב וְאִמְרוּ	19	Metadata only (depth=4, key=Song of the Day)
9353	23	1	1	לְדָוִ֑ד יְהֹוָ֥ה	לדוד יהוה	2	886	לְדָוִד יְהֹוָה	בִּמְרוֹמָיו הוּא יַעֲשֶׂה שָׁלוֹם עָלֵינוּ וְעַל כָּל יִשְׂרָאֵל וְאִמְרוּ אָמֵן: לְדָוִד יְהֹוָה אוֹרִי וְיִשְׁעִי מִמִּי אִירָא יְהֹוָה מָעוֹז חַיַּי מִמִּי אֶפְחָד: בִּקְרֹב	2	0.972	0.886666667	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, Musaf, Second Day of Rosh Hashana, Song of the Day, Song of the Day	Ashkenaz	Machzor		Musaf		Song of the Day	יִתְגַּדַּל וְיִתְקַדַּשׁ שְׁמֵהּ רַבָּא בְּעָלְמָא דִּי בְרָא כִרְעוּתֵהּ וְיַמְלִיךְ מַלְכוּתֵהּ בְּחַיֵּיכוֹן וּבְיוֹמֵיכוֹן וּבְחַיֵּי דְכָל בֵּית יִשְׂרָאֵל, בַּעֲגָלָא וּבִזְמַן קָרִיב וְאִמְרוּ	20	Metadata only (depth=4, key=Song of the Day)
