index_id	psalm_chapter	psalm_verse_start	psalm_verse_end	psalm_phrase_hebrew	psalm_phrase_normalized	phrase_length	prayer_id	liturgy_phrase_hebrew	liturgy_context	Actual prayer	source_text	sefaria_ref	nusach	prayer_type	occasion	service	section	prayer_name	first 200 char of hebrew text	sequence_order	liturgical_notes
9401	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	48	לְמַֽעַן שְׁמוֹ	וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: בעשי"ת: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים לְמַעַנְךָ	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Weekday, Shacharit, Amidah, Patriarchs, Patriarchs	Ashkenaz	Siddur	Weekday	Shacharit	Amidah	Patriarchs	המתפלל צריך שיכוין בליבו פירוש המילות שהוא מוציא בשפתיו. ואם אינו יכול לכוין פירוש המילות לכל הפחות צריך שיחשוב בשעת התפילה בדברים המכניעים את הלב ומכוונים את לבו לאביו שבשמים. יכוין רגליו זה אצל זה כ	3	Metadata only (depth=5, key=Patriarchs)
9402	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	108	לְמַֽעַן שְׁמוֹ	וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: בעשי"ת: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים לְמַעַנְךָ	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Weekday, Minchah, Amida, Patriarchs, Patriarchs	Ashkenaz	Siddur	Weekday	Mincha		Patriarchs	המתפלל צריך שיכוין בליבו פירוש המילות שהוא מוציא בשפתיו. ואם אינו יכול לכוין פירוש המילות לכל הפחות צריך שיחשוב בשעת התפילה בדברים המכניעים את הלב ומכוונים את לבו לאביו שבשמים. יכוין רגליו זה אצל זה כ	2	Metadata only (depth=5, key=Patriarchs)
9403	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	146	לְמַֽעַן שְׁמוֹ	וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: בעשי"ת: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים לְמַעַנְךָ	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Weekday, Maariv, Amidah, Patriarchs, Patriarchs	Ashkenaz	Siddur	Weekday	Maariv	Amidah	Patriarchs	המתפלל צריך שיכוין בליבו פירוש המילות שהוא מוציא בשפתיו. ואם אינו יכול לכוין פירוש המילות לכל הפחות צריך שיחשוב בשעת התפילה בדברים המכניעים את הלב ומכוונים את לבו לאביו שבשמים. יכוין רגליו זה אצל זה כ	5	Metadata only (depth=5, key=Patriarchs)
9404	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	197	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: בעשי"ת: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Shabbat, Maariv, Amidah, Patriarchs, Patriarchs	Ashkenaz	Siddur	Shabbat	Maariv	Amidah	Patriarchs	אֲדֹנָי שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב הָאֵל הַגָּדוֹל הַגִּבּוֹר וְהַנּוֹ	6	Metadata only (depth=5, key=Patriarchs)
9405	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	280	לְמַעַן שְׁמו	טובִים. וְקונֵה הַכּל. וְזוכֵר חַסְדֵּי אָבות. וּמֵבִיא גואֵל לִבְנֵי בְנֵיהֶם לְמַעַן שְׁמו בְּאַהֲבָה: בעשי”ת: זָכְרֵנוּ לְחַיִּים. מֶלֶךְ חָפֵץ בַּחַיִּים. וְכָתְבֵנוּ בְּסֵפֶר הַחַיִּים.	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Shabbat, Shacharit, Amidah, Patriarchs, Patriarchs	Ashkenaz	Siddur	Shabbat	Shacharit	Amidah	Patriarchs	אֲדנָי שפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶךָ: בָּרוּךְ אַתָּה ה' אֱלהֵינוּ וֵאלהֵי אֲבותֵינוּ. אֱלהֵי אַבְרָהָם. אֱלהֵי יִצְחָק. וֵאלהֵי יַעֲקב. הָאֵל הַגָּדול הַגִּבּור וְהַנּורָא אֵל עֶלְיון. 	7	Metadata only (depth=5, key=Patriarchs)
9406	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	317	לְמַעַן שְׁמו	טובִים. וְקונֵה הַכּל. וְזוכֵר חַסְדֵי אָבות. וּמֵבִיא גואֵל לִבְנֵי בְנֵיהֶם לְמַעַן שְׁמו בְּאַהֲבָה: בעש"ת זָכְרֵנוּ לְחַיִּים. מֶלֶךְ חָפֵץ בַּחַיִּים. וְכָתְבֵנוּ בְּסֵפֶר הַחַיִּים.	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Shabbat, Musaf LeShabbat, Amidah, Patriarchs, Patriarchs	Ashkenaz	Siddur	Shabbat	Musaf	Amidah	Patriarchs	כִּי שֵׁם ה' אֶקְרָא הָבוּ גדֶל לֵאלהֵינוּ: אֲדנָי שפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶךָ: בָּרוּךְ אַתָּה ה' אֱלהֵינוּ וֵאלהֵי אֲבותֵינוּ. אֱלהֵי אַבְרָהָם. אֱלהֵי יִצְחָק. וֵאלהֵי יַעֲקב. הָאֵל	5	Metadata only (depth=5, key=Patriarchs)
9407	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	361	לְמַעַן שְׁמו	טובִים. וְקונֵה הַכּל. וְזוכֵר חַסְדֵּי אָבות. וּמֵבִיא גואֵל לִבְנֵי בְנֵיהֶם לְמַעַן שְׁמו בְּאַהֲבָה: בעשי"ת זָכְרֵנוּ לְחַיִּים. מֶלֶךְ חָפֵץ בַּחַיִּים. וְכָתְבֵנוּ בְּסֵפֶר הַחַיִּים.	Amidah	Siddur Ashkenaz	Siddur Ashkenaz, Shabbat, Minchah, Amidah, Patriarchs, Patriarchs	Ashkenaz	Siddur	Shabbat	Mincha	Amidah	Patriarchs	אֲדנָי שפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶךָ: בָּרוּךְ אַתָּה ה' אֱלהֵינוּ וֵאלהֵי אֲבותֵינוּ. אֱלהֵי אַבְרָהָם. אֱלהֵי יִצְחָק. וֵאלהֵי יַעֲקב. הָאֵל הַגָּדול הַגִּבּור וְהַנּורָא אֵל עֶלְיון. 	11	Metadata only (depth=5, key=Patriarchs)
9439	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	684	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בעשרת ימי תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים,	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Weekday Shacharit, Amida, Amida	Edot_HaMizrach	Siddur	Weekday	Shacharit		Amida	עמידה לשחרית של יום חול אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹב	11	Metadata only (depth=3, key=Amida)
9440	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	696	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בעשרת ימי תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים,	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Weekday Mincha, Amida, Amida	Edot_HaMizrach	Siddur	Weekday	Mincha		Amida	תפילת עמידה ליום חול אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹב. ה	5	Metadata only (depth=3, key=Amida)
9441	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	701	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בעשרת ימי תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים,	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Weekday Arvit, Amidah, Amidah	Edot_HaMizrach	Siddur	Weekday	Maariv	Amidah	Amidah	תפילת עמידה ליום חול אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹב. ה	7	Metadata only (depth=3, key=Amidah)
