Book,Chapter,Verse(s),Major_Theme,Mid_Level,Description,Connection_Type,Genre
Genesis,1,1-2:3,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Torah
Psalm,33,6,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Psalm,33,7,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Psalm,33,8,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Psalm,33,9,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,22,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,23,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,24,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,25,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,26,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,27,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,28,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,29,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,30,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Proverbs,8,31,Creation & Cosmology,Six Days of Creation,Creation & Cosmology > Six Days of Creation,Direct Reference,Wisdom
Genesis,2,1,Creation & Cosmology,Garden of Eden,Creation & Cosmology > Garden of Eden,Direct Reference,Torah
Genesis,2,5,Creation & Cosmology,Garden of Eden,Creation & Cosmology > Garden of Eden,Direct Reference,Torah
Genesis,2,10,Creation & Cosmology,Garden of Eden,Creation & Cosmology > Garden of Eden,Direct Reference,Torah
Genesis,2,15,Creation & Cosmology,Garden of Eden,Creation & Cosmology > Garden of Eden,Direct Reference,Torah
Genesis,2,20,Creation & Cosmology,Garden of Eden,Creation & Cosmology > Garden of Eden,Direct Reference,Torah
Genesis,3,1,Creation & Cosmology,Garden of Eden,Creation & Cosmology > Garden of Eden,Direct Reference,Torah
